smiles,klebsiella_pneumoniae
CC(=N)N1CCCC1,0.000658601988106966
CC(=N[O-])C(C)C,0.0009436716791242361
CC(=O)/N=C1\[C@H](C)C[C@]2(C)C[C@@H](C)C(=O)[C@@H](C)C(=O)OC[C@@](C)(O)[C@H](OC/C(=N\O)CO2)[C@H]1C,0.0019015967845916748
CC(=O)C=O,0.005518252030014992
CC(=O)CC=O,0.0014332298887893558
CC(=O)O,0.002756425179541111
CC(=O)[O-],0.0035935326013714075
CC(C)(C)C,0.00091320596402511
CC(C)(C)C=O,0.0010588556760922074
CC(C)(NN)C(=O)O,0.0007746817427687347
CC(C)/N=c1/ccc2nc3ccccc3[nH]c-2c1,0.0012353882193565369
CC(C)=NNC(=N)N,0.000785689742770046
CC(C)C,0.00110649096313864
CC(C)C(=O)O,0.0009134317515417933
CC(C)C(=O)[O-],0.0009794593788683414
CC(C)C=O,0.0013907208340242505
CC(C)CC(C)(C)C,0.0007145922863855958
CC(C)CC=O,0.0010269834892824292
CC(C)Cl,0.0020053209736943245
CC(C)O,0.0011478797532618046
CC(F)(F)F,0.002086435444653034
CC(O)(CO)CO,0.000760258233640343
CC(O)CCl,0.0015231468714773655
CC1(C)CCC(O)CC1,0.0006471684318967164
CC1(C)CCC(O)CO1,0.0006455344264395535
CC1(C)CC[C@@H](O)CO1,0.0006455344264395535
CC1(C)CN2C(=O)CC2S1,0.0008509740000590682
CC1(C)CN2C(=O)CC2S1(=O)=O,0.0013342651072889566
CC1(C)CN2C(=O)C[C@@H]2S1,0.0008509740000590682
CC1(C)CN2C(=O)C[C@H]2S1,0.0008509740000590682
CC1(C)CN2C(=O)C[C@H]2S1(=O)=O,0.0013342651072889566
CC1(C)CN2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2S1,0.0008310103439725935
CC1(C)CO[C@@H](O)[C@@H](O)[C@@H]1O,0.0006979872123338282
CC1(C)CO[C@@H](O)[C@H](O)[C@@H]1O,0.0006979872123338282
CC1(C)C[C@H](O)[C@H](O)CO1,0.0006465333863161504
CC1(C)NCC(=O)N1,0.0007648781174793839
CC1(N)CNCNC1,0.0007432666607201099
