smiles,klebsiella_pneumoniae,heavy_atoms,has_ring
Brc1ccc2ncccc2c1,0.004676601383835,11,True
Brc1ccc2ncncc2c1,0.005991225130856,11,True
Brc1ccccc1,0.0037746643647551,7,True
C#C[C@]1(O)[C@H](C)CCO[C@H]1C,0.000648015004117,11,True
C1C2CC3CC1CC(C2)C3,0.0009019857970997,10,True
C1CCCCC1,0.001049178186804,6,True
C1CCNCC1,0.0009710739250294,6,True
C1CN(C2=NCCS2)C1,0.0007191625190898,9,True
C1CN2CCC1CC2,0.0007599291857331,8,True
C1CNC2CNCC2C1,0.0007073038723319,9,True
C1CNCCN1,0.0010769540676847,6,True
C1CNCCNC1,0.0008045647409744,7,True
C1CN[C@@H]2CNC[C@@H]2C1,0.0007073038723319,9,True
C1COCCN1,0.0009981846669688,6,True
C1CSCCN1,0.0014299574540928,6,True
C=C1CCO[C@H]2NC(=O)[C@@]1(O)NC2=O,0.0012824778677895,14,True
C=CC1=C(C(=O)O)N2C(=O)CC2SC1,0.0034854949917644,14,True
C=CC1=C(C(=O)O)N2C(=O)C[C@H]2SC1,0.0034854949917644,14,True
C=C[C@]1(O)[C@H](C)CCO[C@H]1C,0.0007253155927173,11,True
CC#C[C@@]1(O)[C@H](C)OCC[C@@H]1C,0.0006262533133849,12,True
CC#C[C@]1(O)[C@H](C)CCO[C@H]1C,0.0006262207170948,12,True
CC(=N)N1CCCC1,0.0006586019881069,8,True
CC(C)/N=c1/ccc2nc3ccccc3[nH]c-2c1,0.0012353882193565,18,True
CC1(C)CCC(O)CC1,0.0006471684318967,9,True
CC1(C)CCC(O)CO1,0.0006455344264395,9,True
CC1(C)CC[C@@H](O)CO1,0.0006455344264395,9,True
CC1(C)CN2C(=O)CC2S1,0.000850974000059,10,True
CC1(C)CN2C(=O)CC2S1(=O)=O,0.0013342651072889,12,True
CC1(C)CN2C(=O)C[C@@H]2S1,0.000850974000059,10,True
CC1(C)CN2C(=O)C[C@H]2S1,0.000850974000059,10,True
CC1(C)CN2C(=O)C[C@H]2S1(=O)=O,0.0013342651072889,12,True
CC1(C)CN2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2S1,0.0008310103439725,19,True
CC1(C)CO[C@@H](O)[C@@H](O)[C@@H]1O,0.0006979872123338,11,True
CC1(C)CO[C@@H](O)[C@H](O)[C@@H]1O,0.0006979872123338,11,True
CC1(C)C[C@H](O)[C@H](O)CO1,0.0006465333863161,10,True
CC1(C)NCC(=O)N1,0.0007648781174793,8,True
CC1(N)CNCNC1,0.0007432666607201,8,True
CC1(O)COCC(O)C1,0.0006860561552457,9,True
CC1=C(C(=O)O)N2C(=O)CC2SC1,0.003020133357495,13,True
CC1=C(C(=O)O)N2C(=O)C[C@H]2OC1,0.0022053206339478,13,True
CC1=C(C(=O)O)N2C(=O)C[C@H]2S1,0.0041262269951403,12,True
CC1=C(C(=O)O)N2C(=O)C[C@H]2SC1,0.003020133357495,13,True
CC1=C(C(=O)[O-])N2C(=O)CC2OC1,0.0033402622211724,13,True
CC1=C(C(=O)[O-])N2C(=O)CC2SC1,0.0042910007759928,13,True
CC1=C(C(=O)[O-])N2C(=O)C[C@H]2SC1,0.0042910007759928,13,True
CC1=C(C=O)N2C(=O)CC2SC1,0.003423384623602,12,True
CC1=C(C=O)N2C(=O)C[C@H]2SC1,0.003423384623602,12,True
CC1=C(N)C(=O)C2=C(C1=O)N1CC3NC3C1C2,0.0037038805894553,17,True
CC1=C(N)C(=O)C2=C(C1=O)N1C[C@H]3N[C@H]3[C@@H]1C2,0.0036870799958705,17,True
CC1=C(N)C(=O)C2=C(C1=O)N1C[C@H]3[C@@H]([C@H]1C2)N3C,0.0025564478710293,18,True
CC1=CC[C@@H](N)CO1,0.0007350897067226,8,True
CC1C(S)=C(C(=O)O)N2C(=O)CC12,0.0051765986718237,13,True
CC1CC(=O)C2(O)OC3CC(O)CC(O)C3OC2O1,0.0158657096326351,19,True
CC1CC(=O)N1S(=O)(=O)O,0.0127296997234225,10,True
CC1CC(C)(O)CCO1,0.0006691721500828,9,True
CC1CCC(C(C)C)C(O)C1,0.0006225298275239,11,True
CC1CCC(O)CO1,0.0007357508293353,8,True
CC1CCC2(C)C(C=O)=CCCC2C1(C)C,0.000862032349687,16,True
CC1CCC2(C)C(C=O)=CCCC2C1C,0.0009183015208691,15,True
CC1CCCCC1,0.0008810317958705,7,True
CC1CCOC(C)C1O,0.0007137779030017,9,True
CC1CCc2cc(F)cc3c(=O)ccn1c23,0.0043180231004953,16,True
CC1CN2C(=O)CC2S1(=O)=O,0.0017674011178314,11,True
CC1CNCC(C)N1,0.0007506894180551,8,True
CC1CNCCN1,0.0008228580118156,7,True
CC1COc2cc(F)cc3c(=O)ccn1c23,0.0033651876728981,16,True
CC1OCC(O)C(N)C1O,0.0007666909950785,10,True
CC1OCCC1O,0.0008180883014574,7,True
CC1Sc2cc(=O)c3cc(F)ccc3n21,0.0057882093824446,15,True
