smiles,klebsiella_pneumoniae,heavy_atoms
CCCC[C@H](N)C(=O)O,0.0006004822789691,9
CCCC[P+](C)(CCCC)CCCC,0.0008637727005407,14
CCC[C@H](C)C(=O)[O-],0.0006835917592979,8
CCN(O)c1nc(C#N)c(Cl)s1,0.0108784036710858,12
CCS(=O)(=O)CC,0.0009554650168865,7
CC[C@H](C)C=O,0.001056095585227,6
CC[C@H](C)C[C@H](C)CCCCCCCCC=O,0.0009867456974461,17
CC[C@H](N)CO,0.0008166087791323,6
CN(C)N=Nc1cnc[nH]1,0.0013415032299235,10
CN(C=O)N=O,0.0639315545558929,6
CN(C=O)[NH2+][O-],0.0671825259923935,6
CN(c1ccon1)P(=O)(O)O,0.0045644403435289,11
CN(c1ccon1)P(=O)([O-])O,0.0039255376905202,11
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@H]1SS3,0.1820252686738968,19
CN1CCCC1,0.0009097344009205,6
CN1CCNC=N1,0.0010942463995888,7
CN1CCNCC1,0.000872412812896,7
CN1CCOCC1,0.0007984833791851,7
CN1COc2cc(F)cc3c(=O)ccn1c23,0.0049101309850811,16
CN1[C@@H]2CCC[C@H]1CC2,0.000758517999202,9
CO/N=C(\C=O)c1ccco1,0.0018458501435816,11
CO/N=C(\C=O)c1csc(N)n1,0.0027684166561812,12
CO/N=C(\C=O)c1nsc(N)n1,0.005199221894145,12
CO/N=C1/CCNC1,0.0007951834704726,8
COC1=C(N)C(=O)c2ncccc2C1=O,0.0083111030980944,15
CON=C(C=O)c1ccco1,0.0019876211881637,11
CON=C(C=O)c1csc(N)n1,0.003453996265307,12
CON=C1CCNC1,0.0007415444706566,8
COP(O)(=S)OC,0.0110150538384914,7
CO[C@@H]1[C@@H](O)[C@@H](O)COC1(C)C,0.0007270532078109,12
CS(=O)(=O)N1CCNC1=O,0.0012853982625529,10
CS(=O)(=O)c1ccccc1,0.0011857227655127,10
C[C@@H](N)CC[C@H](N)C(=O)O,0.0005822980310767,10
C[C@@H](O)CC=O,0.0013963062083348,6
C[C@@H](O)CCN,0.0007265381282195,6
C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.0007047833641991,11
C[C@@H]1CC(=O)[C@]2(O)O[C@@H]3C[C@@H](O)C[C@H](O)[C@H]3O[C@@H]2O1,0.0158899426460266,19
C[C@@H]1CCCCO1,0.0007697714027017,7
C[C@@H]1CCO[C@@H](C)C1,0.0006582427304238,8
C[C@@H]1CCO[C@@H](C)[C@@H]1O,0.0007136855274438,9
C[C@@H]1CCO[C@@H](C)[C@@]1(C)O,0.0006882572197355,10
C[C@@H]1CCO[C@@H](C)[C@@]12CO2,0.0006476927082985,10
C[C@@H]1CCO[C@@H](C)[C@H]1O,0.0007136855274438,9
C[C@@H]1CCO[C@@H](C)[C@]12CO2,0.0006476927082985,10
C[C@@H]1CC[C@@H](O)CO1,0.0007357508293353,8
C[C@@H]1CC[C@]2(OC1)OC[C@H](C)C[C@H]2C,0.0007151148747652,14
C[C@@H]1CN2C(=O)C[C@H]2S1(=O)=O,0.0017674011178314,11
C[C@@H]1CNC[C@H](C)C1,0.0007481755455955,8
C[C@@H]1CNC[C@H](C)N1,0.0007506894180551,8
C[C@@H]1C[C@H](O)CCO1,0.0007640291005373,8
C[C@@H]1Cn2c(=O)ccc3ncc(=O)n1c32,0.0035364686045795,15
C[C@@H]1OCCC[C@@H]1O,0.0007749053183943,8
C[C@@H]1OCCC[C@H]1O,0.0007748737116344,8
C[C@@H]1OCC[C@@H]1O,0.0008183103636838,7
C[C@@H]1OCC[C@@](C)(O)[C@H]1O,0.0007004091748967,10
C[C@@H]1OCC[C@@]1(O)C=O,0.0014138554688543,9
C[C@H](C=O)N=C(N)N,0.0007883321959525,8
C[C@H](CO)[C@H](N)C=O,0.0009450206998735,8
C[C@H]1C(S)=C(C(=O)O)N2C(=O)C[C@@H]12,0.0051765986718237,13
C[C@H]1C(S)=C(C(=O)[O-])N2C(=O)C[C@@H]12,0.0074311336502432,13
C[C@H]1C(S)=C(C=O)N2C(=O)C[C@@H]12,0.0038579953834414,12
C[C@H]1C/C=C/C=C/C[C@@H](C)OC(=O)CCCCCC1,0.0010632672347128,19
C[C@H]1C=C(c2cscn2)CN1,0.0007969447760842,11
C[C@H]1CC(=O)N1O,0.0015496669802814,7
C[C@H]1CC(=O)N1S(=O)(=O)O,0.0127296997234225,10
C[C@H]1CCCCO1,0.0007697714027017,7
C[C@H]1CCCOC1,0.0007256091339513,7
C[C@H]1CCCO[C@H]1O,0.0008232186664827,8
C[C@H]1CNC(=O)c2ccccc2OC1,0.0008360724314115,14
C[C@H]1COC(=O)N1,0.0009068406652659,7
C[C@H]1COc2cc(F)cc3c(=O)ccn1c23,0.0033651876728981,16
C[C@H]1C[C@](C)(O)CCO1,0.0006691721500828,9
C[C@H]1Cn2cc([N+](=O)[O-])nc2O1,0.0311052594333887,12
C[C@H]1NCc2ccccc21,0.0008011364843696,10
C[C@H]1OCCC[C@@H]1O,0.0007748737116344,8
C[C@H]1OCC[C@@H](N)[C@@H]1O,0.0007529517170041,9
C[C@H]1OC[C@@H](O)[C@@H](N)[C@@H]1O,0.0007666223682463,10
C[C@H]1OC[C@H](O)C[C@@H]1O,0.0007558406796306,9
C[C@H]1[C@H](O)CCO[C@H]1O,0.0008434225455857,9
C[C@]1(O)COC[C@H](O)C1,0.0006860561552457,9
C[NH+]1CCCC1,0.0009421061258763,6
C[S+]([O-])c1nc2ccccc2[nH]1,0.0017241352470591,12
C[n+]1cc[nH]c1,0.0011358503252267,6
C[n+]1cc[nH]n1,0.00151590956375,6
C[n+]1ccccc1,0.0015074686380103,7
Cc1c(F)ccc2[nH]ccc(=O)c12,0.0023214339744299,13
Cc1c[nH]c(=O)[nH]c1=O,0.0022040798794478,9
Cc1cc(=O)cc[nH]1,0.0018980833701789,8
Cc1cc(C)ncn1,0.0011363788507878,8
Cc1cc(O)c(C=O)c(O)c1,0.0023715822026133,11
Cc1cc(O)ccn1,0.0013107439735904,8
Cc1cc[nH]c1,0.0011462937109172,6
Cc1ccc(C=O)[nH]1,0.0014297970337793,8
Cc1ccc([N+](=O)[O-])o1,0.0193783603608608,9
Cc1ccc2c(=O)cc[nH]c2n1,0.0013610157184302,12
Cc1ccc[nH]1,0.0010802950710058,6
Cc1cccc2c(=O)cc[nH]c12,0.0015506694326177,12
Cc1cccc2c(O)cc(=O)oc12,0.0029201535508036,13
Cc1cccc2c([O-])cc(=O)oc12,0.0029991047922521,13
Cc1cccc2c1OC(=O)CC2,0.0009311052854172,12
Cc1cccc2ccc(=O)oc12,0.0044770729728043,12
Cc1ccccc1,0.0012436213437467,7
Cc1cccnc1,0.0014711569529026,7
Cc1ccn(O)c(=O)c1,0.0149225974455475,9
Cc1ccncn1,0.0019654021598398,7
Cc1ccno1,0.0025680081453174,6
Cc1cncc(N)c1,0.0009928201325237,8
Cc1coc(=O)o1,0.0017973431386053,7
Cc1conc1C,0.0015110811218619,7
Cc1cscn1,0.0024161003530025,6
Cc1nc2ccccc2[nH]1,0.000846219016239,10
Cc1ncc([N+](=O)[O-])[nH]1,0.006207114085555,9
Cc1nncs1,0.0035359673202037,6
Cc1scc2c1Nc1ccccc1NC2=O,0.0069475397467613,16
Clc1cc[nH]c1,0.0030107034835964,6
Clc1ccc(Cl)c(Cl)c1,0.0059599871747195,9
Clc1ccc(Cl)cc1,0.0038125552237033,8
Clc1ccc2c(c1)Cc1ccccc1S2,0.0019416348077356,15
Clc1cccc(Cl)c1,0.00436900742352,8
Clc1cccc2ncccc12,0.009725198149681,11
Clc1ccccc1,0.0034105503000319,7
Clc1cncnc1,0.0079151783138513,7
Cn1c(=O)nc2[nH]ncnc-2c1=O,0.0215300694108009,13
Cn1cc(N)cc1C=O,0.0012350836768746,9
Cn1ccc2ccccc21,0.0010723469313234,10
Cn1cccc1,0.0010779817821457,6
Cn1cccc1C=O,0.0013946580002084,8
Cn1cccn1,0.0013089051935821,6
Cn1ccnc1,0.0010697117540985,6
Cn1cnc(=O)c(O)n1,0.0048773526214063,9
Cn1cnc(=O)c([O-])n1,0.0077140959911048,9
Cn1cncc1[N+](=O)[O-],0.0075755012221634,9
Cn1cnnn1,0.0022615203633904,6
Cn1ncnn1,0.0029741439502686,6
