smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id,known_antibiotics_novelty,hts_hit_novelty,closest_antibiotic,closest_hts_hit,filter_status,filter_reason,scaffold_antibiotics_novelty,scaffold_hts_hit_novelty,closest_antibiotic_scaffold,closest_hts_hit_scaffold
O=C1COc2ccc(Nc3ccc([N+](=O)[O-])cc3Cl)cc2N1,0.0042,0.0035,0.0026,0.0008,0.4211,0.0817,0.0389,0.0178,0.1302,0.0146,0.0083,0.0069,0.5835,0.1693,0.066,0.0469,0.2026,0.0106,0.0086,0.0126,0.2312,0.0213,0.0166,0.0211,0.3569,0.0532,0.0333,0.0298,0.0841,0.016,0.0091,0.0079,0.0,0.0009,0.0041,0.0055,0.0642,0.3797,0.3095,0.9166,0.2754,0.433,0.5092,0.5577,0.2926,0.2237,0.0412,0.0208,0.0166,0.4153,0.7245,0.745455,1112,0.745455,0.764706,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,FILTERED,motif:aminoglycoside_h1,0.772727,0.765957,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl
CN(CC1COc2ccccc2O1)c1snc(Cl)c1C#N,0.0033,0.0027,0.002,0.0006,0.4572,0.1328,0.0575,0.0155,0.042,0.0027,0.002,0.0036,0.5113,0.0673,0.0296,0.0385,0.2033,0.0105,0.0085,0.0122,0.1412,0.0085,0.0074,0.0148,0.1414,0.0094,0.0083,0.0161,0.0476,0.008,0.0052,0.0059,0.0001,0.0001,0.0001,0.0,0.0839,0.2415,0.0287,0.0019,0.0152,0.1512,0.3361,0.2597,0.1757,0.1719,0.0269,0.0134,0.0119,0.1438,0.6986,0.858824,1111,0.826667,0.829268,N#Cc1nc(N(O)CCN2CCOCC2)sc1Cl,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21.Cl,KEPT,,0.786885,0.803922,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl
CN(Cc1c(F)cccc1Cl)c1ncc([N+](=O)[O-])c(N)n1,0.0046,0.004,0.0029,0.0009,0.4392,0.2341,0.1003,0.0122,0.0616,0.0047,0.0031,0.0044,0.5353,0.1445,0.0572,0.0381,0.2516,0.0154,0.0116,0.0142,0.1619,0.0109,0.0092,0.0162,0.2968,0.0343,0.023,0.025,0.076,0.0141,0.0082,0.0075,0.0002,0.0182,0.0069,0.0004,0.0302,0.2336,0.3233,0.5909,0.1226,0.2557,0.4865,0.6173,0.3142,0.203,0.0533,0.0247,0.0132,0.3305,0.7785,0.758065,1110,0.758065,0.777778,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,O=[N+]([O-])c1ccc(O)c2ncccc12,KEPT,,0.538462,0.625000,N[C@@H]1CONC1=O,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
COc1cc(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)ccc1SCC(=O)O,0.0024,0.002,0.0014,0.0004,0.4368,0.0402,0.0231,0.0409,0.2419,0.0431,0.0218,0.0118,0.6469,0.1087,0.0566,0.142,0.1177,0.0045,0.0044,0.0092,0.3513,0.0528,0.0374,0.0314,0.2573,0.0258,0.0193,0.0265,0.1276,0.0273,0.0141,0.0102,0.0,0.0,0.0,0.0004,0.1412,0.1507,0.1533,0.0012,0.0472,0.4998,0.2674,0.5194,0.378,0.2424,0.0338,0.0198,0.0303,0.2398,0.6737,0.746269,1109,0.779661,0.781250,C=CCc1ccc(O)c(OC)c1,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,KEPT,,0.714286,0.645161,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
Cc1cc(Cl)c2c(c1)c(=O)c(C#N)cn2CCC1OCCO1,0.0476,0.0523,0.0383,0.0142,0.4343,0.0654,0.0328,0.0239,0.0851,0.0076,0.0049,0.0059,0.4996,0.0437,0.022,0.0485,0.2054,0.0132,0.0118,0.0196,0.0996,0.0049,0.0047,0.0134,0.0735,0.0039,0.0044,0.0135,0.1052,0.0213,0.0116,0.0092,0.0018,0.0052,0.0036,0.0057,0.0612,0.3174,0.1386,0.0349,0.0438,0.7141,0.4366,0.2958,0.2264,0.1725,0.0242,0.0149,0.0171,0.2521,0.6619,0.756757,1108,0.756757,0.756757,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,FILTERED,motif:quinolone,0.719298,0.719298,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
Cc1ccc(NC(=O)CC2SC(c3cc4ccccc4oc3=O)=NC2=O)cc1,0.0049,0.0042,0.0031,0.001,0.4589,0.0991,0.0463,0.0214,0.0771,0.0066,0.0042,0.0051,0.5407,0.0733,0.0327,0.0476,0.1021,0.0039,0.004,0.0093,0.1002,0.005,0.0047,0.0125,0.1659,0.0123,0.0103,0.0182,0.0467,0.0079,0.0051,0.0059,0.0,0.0,0.0001,0.0,0.1458,0.3199,0.0096,0.0226,0.0271,0.213,0.1815,0.291,0.2121,0.1663,0.0236,0.0123,0.0135,0.1581,0.7419,0.811111,1107,0.811111,0.750000,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C,CS(=O)(=O)Cc1nc2ccccc2oc1=O,KEPT,,0.780822,0.737500,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O
O=C(Cn1ccc(=O)c2sccc21)c1cccc(Cl)c1Cl,0.0189,0.0187,0.0136,0.0047,0.4934,0.1198,0.0526,0.0206,0.0893,0.0081,0.005,0.0055,0.5677,0.0818,0.0352,0.0497,0.1254,0.005,0.0047,0.0095,0.1029,0.005,0.0047,0.0126,0.1781,0.0134,0.0111,0.0189,0.0707,0.0129,0.0076,0.0073,0.002,0.0458,0.0309,0.0123,0.1611,0.2852,0.5705,0.0021,0.0447,0.6614,0.2366,0.4802,0.1879,0.1832,0.0345,0.0184,0.0157,0.2922,0.6004,0.773585,1106,0.773585,0.822785,O=c1ccn(F)c2ccccc12,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O.Cl,FILTERED,motif:quinolone,0.750000,0.755556,CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(=O)C(N)CCCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
CC1(C)Cc2cccc(OCCNc3ncc([N+](=O)[O-])c(N)n3)c2O1,0.0008,0.0006,0.0005,0.0001,0.4558,0.1574,0.0669,0.014,0.0341,0.002,0.0016,0.0032,0.5253,0.1544,0.0608,0.0362,0.103,0.0037,0.0036,0.0081,0.0697,0.0027,0.0028,0.0098,0.2475,0.0231,0.0168,0.0221,0.064,0.0114,0.0069,0.0068,0.0,0.0,0.0,0.0,0.0055,0.0543,0.0029,0.0,0.0019,0.0063,0.0198,0.1607,0.0918,0.1667,0.0395,0.0177,0.0112,0.0381,0.7214,0.771084,1105,0.771084,0.802632,Cc1ncc([N+](=O)[O-])n1CCOC(c1ccccc1)c1ccc([N+](=O)[O-])cc1,Cn1c([N+](=O)[O-])cnc1COC(N)=O,FILTERED,motif:monoaminopyrimidine,0.760000,0.822581,CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
Nc1nc(Cl)cc(NCc2cccc(Cn3ccnc3)c2)n1,0.0041,0.0036,0.0026,0.0008,0.4844,0.1194,0.0504,0.0164,0.0496,0.0034,0.0024,0.0039,0.527,0.077,0.0327,0.0388,0.0265,0.0006,0.0008,0.0039,0.1305,0.0072,0.0064,0.0141,0.2158,0.0175,0.0136,0.0206,0.1021,0.0201,0.0109,0.0087,0.0,0.0002,0.0001,0.0,0.0333,0.2614,0.0403,0.0033,0.0165,0.1031,0.1344,0.2937,0.1558,0.1711,0.0277,0.0133,0.0119,0.1157,0.7297,0.739130,1104,0.739130,0.805970,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,c1ccc(CCNc2ccnc3cc4ccccc4cc23)cc1,FILTERED,motif:monoaminopyrimidine,0.629630,0.777778,CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNC(=O)C(N)CCCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
Nc1nc(Cl)cc(N(Cc2ccc(-n3cncn3)cc2)C2CC2)n1,0.0055,0.0051,0.0036,0.0011,0.4784,0.1274,0.0538,0.0159,0.0573,0.0042,0.0028,0.0042,0.539,0.2194,0.0844,0.0373,0.049,0.0014,0.0016,0.0054,0.1038,0.005,0.0047,0.0123,0.1495,0.0097,0.0085,0.0166,0.0821,0.0153,0.0087,0.0077,0.0,0.0027,0.0012,0.0,0.007,0.0771,0.0171,0.0001,0.0001,0.0087,0.0847,0.1276,0.0849,0.1627,0.0433,0.0188,0.0112,0.0452,0.699,0.835616,1103,0.822785,0.830986,CN(Cl)CC1CCCCC1C(=O)Cc1cnc(N)nc1N,COc1ccc(Cc2cnc(N)nc2N)cc1OC,FILTERED,motif:small_strained; motif:monoaminopyrimidine,0.802632,0.783333,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,Nc1ccccc1O
CCCCS(=O)(=O)N1CCC(CNc2nc(N)c3ccccc3n2)C1,0.0053,0.0048,0.0034,0.001,0.5899,0.1203,0.0493,0.0281,0.0639,0.0048,0.0032,0.0045,0.6115,0.1002,0.0416,0.0585,0.136,0.0055,0.005,0.0098,0.1255,0.0066,0.006,0.0143,0.2042,0.0159,0.0128,0.0209,0.0779,0.0143,0.0083,0.0075,0.0003,0.0004,0.0003,0.0001,0.0282,0.1025,0.0057,0.0,0.219,0.1892,0.1506,0.3904,0.258,0.2016,0.0303,0.0144,0.0161,0.1493,0.6348,0.746479,1102,0.746479,0.756757,CC(C)Cn1cnc2c(N)nc3ccccc3c21,CCc1ccc(Nc2c3c(nc4ccccc24)CCC3)cc1,FILTERED,motif:sulfonamide_h1; motif:monoaminopyrimidine,0.705882,0.719298,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,Cl.NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
