,mole,smiles
332,CS(=O)(=O)Oc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,CS(=O)(=O)Oc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1
333,O=C(CN1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1CC1,O=C(CN1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O)NC1CC1
335,COC1(CS(=O)(=O)N2C[C@@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,COC1(CS(=O)(=O)N2C[C@@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1
337,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O
338,CC[C@@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,CC[C@@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21
341,CNC(=O)C1(N2C[C@@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,CNC(=O)C1(N2C[C@@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1
343,O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21,O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21
344,CNC(=O)CN1C(=O)c2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)[C@H]1C,CNC(=O)CN1C(=O)c2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)[C@H]1C
346,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O
350,C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21
352,C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21
354,CNC(=O)C[N@H+]1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,CNC(=O)C[N@H+]1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1
356,C[NH+](C)CCOc1ccc2cncc(N3CC[C@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,C[NH+](C)CCOc1ccc2cncc(N3CC[C@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1
358,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O
360,CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1
362,O=C(C[N@H+]1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1,O=C(C[N@H+]1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1
366,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12
368,CC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,CC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12
370,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCCN(c4cncc5ccccc45)C3=O)C2)CC1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCCN(c4cncc5ccccc45)C3=O)C2)CC1
372,CS(=O)(=O)NCCc1ccccc1,CS(=O)(=O)NCCc1ccccc1
