,mole,smiles
497,Cc1ccncc1NC(=O)Cc1cccc(O[C@@H]2CC(=O)N2)c1,Cc1ccncc1NC(=O)Cc1cccc(O[C@@H]2CC(=O)N2)c1
498,N#Cc1ccc(N2CCCOCC2)cn1,N#Cc1ccc(N2CCCOCC2)cn1
499,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC(=O)C1,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC(=O)C1
500,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O[C@@H]2CC(=O)N2)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O[C@@H]2CC(=O)N2)c1
501,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1
502,Cc1ccncc1NC(=O)CC1CC2(CC2)C1,Cc1ccncc1NC(=O)CC1CC2(CC2)C1
503,O=Cc1cccc2[nH]ccc12,O=Cc1cccc2[nH]ccc12
504,CNc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CNc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1
505,COc1ccncc1NC(=O)[C@@H](O)c1cccc(Br)c1,COc1ccncc1NC(=O)[C@@H](O)c1cccc(Br)c1
506,COc1ccc(Br)cc1[C@@H]([NH3+])C(=O)Nc1cnccc1C,COc1ccc(Br)cc1[C@@H]([NH3+])C(=O)Nc1cnccc1C
507,Cc1cc(F)ccc1CS(N)(=O)=O,Cc1cc(F)ccc1CS(N)(=O)=O
508,COC[C@H](NC(=O)C[C@@H]1C(=O)Nc2ccc(F)cc21)c1cccc(Br)c1,COC[C@H](NC(=O)C[C@@H]1C(=O)Nc2ccc(F)cc21)c1cccc(Br)c1
510,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1
511,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1
512,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1
513,CC[C@@](O)(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,CC[C@@](O)(C(=O)Nc1cnccc1C)c1cccc(Cl)c1
514,CS(=O)(=O)NCC[C@@H](C(=O)Nc1cccnc1)c1ccccc1,CS(=O)(=O)NCC[C@@H](C(=O)Nc1cccnc1)c1ccccc1
517,CC(=O)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1,CC(=O)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1
518,Cc1ccncc1NC(=O)[C@H](C)c1cncc(Cl)c1,Cc1ccncc1NC(=O)[C@H](C)c1cncc(Cl)c1
519,O=C(Nc1nncn1C1CC1)[C@H]1CCOc2ccc(Cl)cc21,O=C(Nc1nncn1C1CC1)[C@H]1CCOc2ccc(Cl)cc21
520,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1,C[NH+]1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1
521,O=C(Nc1cnccc1CO)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1cnccc1CO)[C@@H]1CCOc2ccc(Cl)cc21
523,Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1
524,CCc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)n1,CCc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)n1
525,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,O=C(Nc1cccnc1)Nc1cccc(Cl)c1
526,NS(=O)(=O)c1ccc2c(c1)[C@H](O)C(=O)N2,NS(=O)(=O)c1ccc2c(c1)[C@H](O)C(=O)N2
527,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1
528,Cc1cnncc1NC(=O)Cc1cccc(Cl)c1,Cc1cnncc1NC(=O)Cc1cccc(Cl)c1
529,Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1
530,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1
531,Cc1ccncc1NC(=O)[C@H](C)C1CCCCC1,Cc1ccncc1NC(=O)[C@H](C)C1CCCCC1
532,O=C(Nc1nncn1C1CC1)[C@@H]1CCOc2ccccc21,O=C(Nc1nncn1C1CC1)[C@@H]1CCOc2ccccc21
533,Cn1ccc(CN(C(=O)Cc2cccnc2)c2ccc(-c3ccccn3)cc2)n1,Cn1ccc(CN(C(=O)Cc2cccnc2)c2ccc(-c3ccccn3)cc2)n1
534,O=C(Nc1nncn1C1CC1)[C@@H]1COc2ccc(Cl)cc21,O=C(Nc1nncn1C1CC1)[C@@H]1COc2ccc(Cl)cc21
535,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
536,COC(=O)c1cc(Br)cc2c1NC(=O)[C@@H]2O,COC(=O)c1cc(Br)cc2c1NC(=O)[C@@H]2O
537,Cc1cccc(COC(=O)c2cccc3c2NC(=O)[C@@H]3O)c1,Cc1cccc(COC(=O)c2cccc3c2NC(=O)[C@@H]3O)c1
538,Oc1c(O)n(Cc2ncon2)c2ccc(Br)cc12,Oc1c(O)n(Cc2ncon2)c2ccc(Br)cc12
539,Cc1c([C@@H](C)C(=O)[O-])ccc2c1[nH]c1ccc(Cl)cc12,Cc1c([C@@H](C)C(=O)[O-])ccc2c1[nH]c1ccc(Cl)cc12
540,Cc1ccncc1NC(=O)C[C@H](c1ccsc1)[N@H+]1CC[C@H](O)CC1,Cc1ccncc1NC(=O)C[C@H](c1ccsc1)[N@H+]1CC[C@H](O)CC1
541,O=C(Nc1nncn1-c1ccccc1)[C@@H]1COc2ccc(Cl)cc21,O=C(Nc1nncn1-c1ccccc1)[C@@H]1COc2ccc(Cl)cc21
542,C[C@@]1(C(=O)Nc2nncn2C2CC2)CCOc2ccccc21,C[C@@]1(C(=O)Nc2nncn2C2CC2)CCOc2ccccc21
543,COc1ccc(Cn2c(O)c(O)c3cc(Br)cc(C)c32)cc1OC,COc1ccc(Cn2c(O)c(O)c3cc(Br)cc(C)c32)cc1OC
544,CCOc1ccccc1Cn1c(O)c(O)c2cc(Br)ccc21,CCOc1ccccc1Cn1c(O)c(O)c2cc(Br)ccc21
545,COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
546,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(F)c12,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(F)c12
547,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12
548,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(C)c12,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(C)c12
549,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1
550,Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1,Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1
551,C[C@H]1CN(C(=O)Cn2cccn2)C=CO1,C[C@H]1CN(C(=O)Cn2cccn2)C=CO1
552,Cc1ccncc1NC(=O)[C@@H]1C[C@H]1CF,Cc1ccncc1NC(=O)[C@@H]1C[C@H]1CF
553,Cc1cc(C)cc(CC(=O)Nc2nncn2C)c1,Cc1cc(C)cc(CC(=O)Nc2nncn2C)c1
554,Cc1ccncc1CC(=O)Nc1cccc2c1C[NH2+]CC2,Cc1ccncc1CC(=O)Nc1cccc2c1C[NH2+]CC2
555,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1
556,Cc1ccncc1NC(=O)Cc1cccc(Br)c1,Cc1ccncc1NC(=O)Cc1cccc(Br)c1
557,CC(=O)Nc1ccncc1NC(=O)[C@@H](C)c1cccc(Cl)c1,CC(=O)Nc1ccncc1NC(=O)[C@@H](C)c1cccc(Cl)c1
558,CC(=O)N1CC[NH+](CC(=O)Nc2cnccc2C)CC1,CC(=O)N1CC[NH+](CC(=O)Nc2cnccc2C)CC1
559,O=C(Cc1cccc(Cl)c1)Nc1cccc2[nH]ncc12,O=C(Cc1cccc(Cl)c1)Nc1cccc2[nH]ncc12
560,O[C@@H](Cc1cccc(Cl)c1)Cn1cncn1,O[C@@H](Cc1cccc(Cl)c1)Cn1cncn1
561,Cc1ccncc1NC(=O)CCc1cccc(F)c1,Cc1ccncc1NC(=O)CCc1cccc(F)c1
562,Cc1ccncc1NC(=O)C[NH+]1CCCCC1,Cc1ccncc1NC(=O)C[NH+]1CCCCC1
563,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCC2,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCC2
564,CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc21,CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc21
566,C#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,C#Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1
567,Cn1cncc1NC(=O)Cc1cccc(Cl)c1,Cn1cncc1NC(=O)Cc1cccc(Cl)c1
568,Cc1ccncc1-n1ccn(-c2cccc(Cl)c2)c1=O,Cc1ccncc1-n1ccn(-c2cccc(Cl)c2)c1=O
569,Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1
570,COC(=O)[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1,COC(=O)[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1
571,O=C(Cc1cccc(Cl)c1)Nc1ncn2ccccc12,O=C(Cc1cccc(Cl)c1)Nc1ncn2ccccc12
572,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
573,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccncc12,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccncc12
574,CN(C(=O)Cc1cccc(Cl)c1)c1cncc2ccccc12,CN(C(=O)Cc1cccc(Cl)c1)c1cncc2ccccc12
575,O=C(Cc1cccc(Cl)c1)Nc1cnccc1-c1ccccc1,O=C(Cc1cccc(Cl)c1)Nc1cnccc1-c1ccccc1
576,O=C(Cc1cccc(Cl)c1)Nc1nncc2ccccc12,O=C(Cc1cccc(Cl)c1)Nc1nncc2ccccc12
577,Cc1ccncc1NC(=O)CCc1cccc(Cl)c1,Cc1ccncc1NC(=O)CCc1cccc(Cl)c1
578,O=C(Cc1cccc(Cl)c1)Nc1cncc2cccnc12,O=C(Cc1cccc(Cl)c1)Nc1cncc2cccnc12
579,O=C(Cc1cccc(Cl)c1)Nc1cn[nH]c1,O=C(Cc1cccc(Cl)c1)Nc1cn[nH]c1
580,Cc1[nH]ncc1CC(=O)Nc1cccc(Cl)c1,Cc1[nH]ncc1CC(=O)Nc1cccc(Cl)c1
581,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnccc12,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnccc12
582,O=C(Cc1cccc(Cl)c1)Nc1cnccc1C1CC1,O=C(Cc1cccc(Cl)c1)Nc1cnccc1C1CC1
584,Cc1ccncc1NC(=O)[C@H](CO)c1cccc(Cl)c1,Cc1ccncc1NC(=O)[C@H](CO)c1cccc(Cl)c1
585,Cc1ccncc1NC(=O)[C@H](C)OC(F)F,Cc1ccncc1NC(=O)[C@H](C)OC(F)F
586,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C
587,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C)c(F)c2F)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C)c(F)c2F)c1
588,CSC1=NC(=[NH+]C(C)=O)[C@@H](C#N)C2(CCCCC2)[C@H]1C#N,CSC1=NC(=[NH+]C(C)=O)[C@@H](C#N)C2(CCCCC2)[C@H]1C#N
589,CC(=O)c1cc(C)n(NC(=O)c2n[nH]c(=O)c3ccccc23)c1C,CC(=O)c1cc(C)n(NC(=O)c2n[nH]c(=O)c3ccccc23)c1C
590,CC(=O)c1c(C)c(C(=O)c2ccc(F)cc2)n2ccccc12,CC(=O)c1c(C)c(C(=O)c2ccc(F)cc2)n2ccccc12
591,COc1ccc(Cl)cc1CC(=O)Nc1cncc2ccccc12,COc1ccc(Cl)cc1CC(=O)Nc1cncc2ccccc12
593,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(C(F)(F)F)c2)CC1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(C(F)(F)F)c2)CC1
594,OC[C@H]1CN(Cc2ccccc2)CCO1,OC[C@H]1CN(Cc2ccccc2)CCO1
595,Cc1ccncc1NC(=O)[C@@H](C)c1cc(Cl)cc(O[C@@H]2CC(=O)N2)c1,Cc1ccncc1NC(=O)[C@@H](C)c1cc(Cl)cc(O[C@@H]2CC(=O)N2)c1
596,COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1,COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1
597,Cc1ccncc1NC(=O)[C@@H](C)OC(F)F,Cc1ccncc1NC(=O)[C@@H](C)OC(F)F
598,Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1
599,O=C(Cc1cccc(Cl)c1)Nc1cncc2nc[nH]c12,O=C(Cc1cccc(Cl)c1)Nc1cncc2nc[nH]c12
600,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NS(N)(=O)=O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NS(N)(=O)=O)c1
601,COc1ccc2nnn(CC(=O)N(Cc3ccccn3)c3ccc(C4CC[NH2+]CC4)cc3)c2c1,COc1ccc2nnn(CC(=O)N(Cc3ccccn3)c3ccc(C4CC[NH2+]CC4)cc3)c2c1
602,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@H]2CCC[C@@H]2O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@H]2CCC[C@@H]2O)c1
604,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cc2cncc3ccccc23)cc1,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cc2cncc3ccccc23)cc1
605,CN(C)c1ccc(N(Cc2cc[nH]n2)C(=O)Cn2nnc3ccccc32)cc1,CN(C)c1ccc(N(Cc2cc[nH]n2)C(=O)Cn2nnc3ccccc32)cc1
606,CNC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CNC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1
607,CC(=O)NCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,CC(=O)NCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
609,O=C(Cc1cc(Cl)ccn1)Nc1cncc2ccccc12,O=C(Cc1cc(Cl)ccn1)Nc1cncc2ccccc12
610,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1
611,COc1ccccc1OCCNC(=O)c1cncc2ccccc12,COc1ccccc1OCCNC(=O)c1cncc2ccccc12
612,O=C(Cc1cc(Cl)cc2ccoc12)Nc1cncc2ccccc12,O=C(Cc1cc(Cl)cc2ccoc12)Nc1cncc2ccccc12
613,CC(=O)N1CC[NH+](Cc2cc(O)cc(Cl)c2)CC1,CC(=O)N1CC[NH+](Cc2cc(O)cc(Cl)c2)CC1
614,Cn1ccc(C(=O)NC[C@@H]2CCCO2)n1,Cn1ccc(C(=O)NC[C@@H]2CCCO2)n1
615,O=C[C@H](Cc1ccc(N2CCOCC2)s1)NC(=O)c1cccs1,O=C[C@H](Cc1ccc(N2CCOCC2)s1)NC(=O)c1cccs1
616,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2
617,CCc1ccc2c(c1)c(O)c(O)n2CC(=O)[O-],CCc1ccc2c(c1)c(O)c(O)n2CC(=O)[O-]
618,O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12,O=C(Cc1cccc(Cl)c1)Nc1nnc2ccccn12
619,COc1ccccc1OC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)C1,COc1ccccc1OC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)C1
620,C[C@@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,C[C@@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12
621,COc1cc(OC)nc(C[NH3+])n1,COc1cc(OC)nc(C[NH3+])n1
622,Cc1ccn2cnnc2c1NC(=O)[C@@H]1CCOc2ccc(Cl)cc21,Cc1ccn2cnnc2c1NC(=O)[C@@H]1CCOc2ccc(Cl)cc21
623,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc32)cc1,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc32)cc1
624,O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@@H]1CCNc2ccc(Cl)cc21
625,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
626,Nc1cncc2c1CCCN2C(=O)Cc1cccc(Cl)c1,Nc1cncc2c1CCCN2C(=O)Cc1cccc(Cl)c1
627,CC1CCN(C(=O)Cn2nnc3ccccc32)CC1,CC1CCN(C(=O)Cn2nnc3ccccc32)CC1
628,C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
629,CC[NH2+]Cc1cn(C)nn1,CC[NH2+]Cc1cn(C)nn1
630,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C#N)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C#N)c1
631,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@H]2C[C@H]2C(F)(F)F)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@H]2C[C@H]2C(F)(F)F)c1
632,CC(C)OCCCN(Cc1ccco1)C(=O)Nc1cn(C)c(=O)c2ccccc12,CC(C)OCCCN(Cc1ccco1)C(=O)Nc1cn(C)c(=O)c2ccccc12
633,COC(=O)Nc1sc(C)nc1-c1ccccc1,COC(=O)Nc1sc(C)nc1-c1ccccc1
634,CS(=O)(=O)Cc1nc2ccccc2[nH]1,CS(=O)(=O)Cc1nc2ccccc2[nH]1
635,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Cn2nnc3ccccc32)cc1,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Cn2nnc3ccccc32)cc1
636,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
637,N#Cc1ccc(CNC(=O)N2CCOCC2)cc1,N#Cc1ccc(CNC(=O)N2CCOCC2)cc1
644,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1
648,O=C1C[C@@](O)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1,O=C1C[C@@](O)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2N1
651,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
653,Cn1cnc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c21,Cn1cnc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c21
655,CC(=O)N1CC[NH+](CC(=O)Nc2cnccc2C2CC2)CC1,CC(=O)N1CC[NH+](CC(=O)Nc2cnccc2C2CC2)CC1
656,O=C(Nc1c[n+]([O-])cc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21,O=C(Nc1c[n+]([O-])cc2ccccc12)[C@@H]1CCOc2ccc(Cl)cc21
657,[NH3+]C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,[NH3+]C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
659,Cc1ccncc1NC(=O)C[N@H+]1CC[C@H](C)CC1,Cc1ccncc1NC(=O)C[N@H+]1CC[C@H](C)CC1
660,COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1
661,CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
662,CC(=O)N(c1ccccc1)[C@H]1CCS(=O)(=O)C1,CC(=O)N(c1ccccc1)[C@H]1CCS(=O)(=O)C1
663,CC(=O)N1CC[NH+](C[C@@H]2CC[C@H](Cl)S2)CC1,CC(=O)N1CC[NH+](C[C@@H]2CC[C@H](Cl)S2)CC1
664,CC(=O)N1CCN(S(=O)(=O)c2cc(C)ccc2C)CC1,CC(=O)N1CCN(S(=O)(=O)c2cc(C)ccc2C)CC1
665,COc1cccc2sc(NC(C)=O)nc12,COc1cccc2sc(NC(C)=O)nc12
666,CC(=O)N1CCC(NC(=O)c2ccccc2)CC1,CC(=O)N1CCC(NC(=O)c2ccccc2)CC1
667,CC(=O)N1CCC(C(=O)Nc2ccccc2O)CC1,CC(=O)N1CCC(C(=O)Nc2ccccc2O)CC1
668,CC(=O)N(c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1,CC(=O)N(c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1
669,CC(=O)N(c1ccc(F)cc1)[C@@H]1CCS(=O)(=O)C1,CC(=O)N(c1ccc(F)cc1)[C@@H]1CCS(=O)(=O)C1
670,CC(=O)N1CCC(C(=O)N2CCCCC2)CC1,CC(=O)N1CCC(C(=O)N2CCCCC2)CC1
671,CC(=O)N[C@H](C)c1cccc(Cl)c1,CC(=O)N[C@H](C)c1cccc(Cl)c1
672,CC(=O)Nc1cccc(N2CCCC2=O)c1,CC(=O)Nc1cccc(N2CCCC2=O)c1
673,CC(=O)N1CC[NH+](Cc2ccc(Br)s2)CC1,CC(=O)N1CC[NH+](Cc2ccc(Br)s2)CC1
674,CC(=O)N1CC[NH+](Cc2ccsc2)CC1,CC(=O)N1CC[NH+](Cc2ccsc2)CC1
675,CC(=O)N1Cc2ccccc2[C@H](c2ccccc2)C1,CC(=O)N1Cc2ccccc2[C@H](c2ccccc2)C1
676,CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1
677,CC(=O)N1CCN(C(=O)c2cccs2)CC1,CC(=O)N1CCN(C(=O)c2cccs2)CC1
678,CC(=O)N1CC[NH+](C[C@@H]2CCCS2)CC1,CC(=O)N1CC[NH+](C[C@@H]2CCCS2)CC1
679,COc1ccc(N2CCN(C(C)=O)CC2)cc1,COc1ccc(N2CCN(C(C)=O)CC2)cc1
680,CC(=O)N1CCC(C(=O)N(C)C(C)C)CC1,CC(=O)N1CCC(C(=O)N(C)C(C)C)CC1
681,CC(=O)Nc1cccnc1Cl,CC(=O)Nc1cccnc1Cl
682,CC(=O)N1CCN(C(C)=O)CC1,CC(=O)N1CCN(C(C)=O)CC1
683,COc1ccc(NC(=O)C2CCN(C(C)=O)CC2)cn1,COc1ccc(NC(=O)C2CCN(C(C)=O)CC2)cn1
684,[NH3+]Cc1ncccn1,[NH3+]Cc1ncccn1
685,[NH3+]Cc1ncc[nH]1,[NH3+]Cc1ncc[nH]1
686,CS(=O)(=O)c1ccc(N2CC[NH2+]CC2)cc1,CS(=O)(=O)c1ccc(N2CC[NH2+]CC2)cc1
687,CCC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)NC(C)(C)C)c1cccnc1,CCC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)NC(C)(C)C)c1cccnc1
688,O=C(Cc1cncnc1)Nc1cccc(O[C@@H]2CC(=O)N2)c1,O=C(Cc1cncnc1)Nc1cccc(O[C@@H]2CC(=O)N2)c1
689,O=C(Cc1cncc2ccccc12)Nc1ccccc1,O=C(Cc1cncc2ccccc12)Nc1ccccc1
690,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,N#Cc1cncc(CC(=O)Nc2cccnc2)c1
691,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1
692,COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1
693,N#Cc1cccc(CC(=O)Nc2cccnc2)c1,N#Cc1cccc(CC(=O)Nc2cccnc2)c1
694,Cc1ccc(NC(=O)Nc2cccnc2)s1,Cc1ccc(NC(=O)Nc2cccnc2)s1
695,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,O=C(Cc1ccc(Cl)s1)Nc1cccnc1
696,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1
697,Cc1ccncc1NC(=O)[C@H](C)c1cccc(Cl)c1,Cc1ccncc1NC(=O)[C@H](C)c1cccc(Cl)c1
698,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12
699,CCC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1,CCC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
700,CCC(=O)N(c1ccc(C(C)C)nc1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1,CCC(=O)N(c1ccc(C(C)C)nc1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
701,CCC(=O)N(c1cc(C(C)(C)C)n[nH]1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1,CCC(=O)N(c1cc(C(C)(C)C)n[nH]1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
702,CC(=O)N1CCC(C(=O)N(C)c2ccccc2)CC1,CC(=O)N1CCC(C(=O)N(C)c2ccccc2)CC1
