smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id,known_antibiotics_novelty,hts_hit_novelty,closest_antibiotic,closest_hts_hit,filter_status,filter_reason,scaffold_antibiotics_novelty,scaffold_hts_hit_novelty,closest_antibiotic_scaffold,closest_hts_hit_scaffold
N#CC(=Cc1ccc([N+](=O)[O-])o1)C(=O)Nc1cc(Cl)ccc1Cl,0.0026,0.002,0.0015,0.0005,0.4373,0.0917,0.041,0.0153,0.0552,0.004,0.0028,0.0041,0.4403,0.0343,0.0171,0.0325,0.2455,0.0145,0.0109,0.0134,0.1402,0.0085,0.0074,0.0147,0.1078,0.0061,0.0059,0.0138,0.0654,0.0118,0.0071,0.007,0.0,0.0,0.0,0.0,0.6746,0.534,0.8343,0.8682,0.9928,0.9256,0.8278,0.7863,0.4361,0.166,0.0192,0.0104,0.0112,0.7644,0.7786,0.633333,685,0.633333,0.633333,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,KEPT,,0.500000,0.621622,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
COc1cc(CNCCn2ccnc2)cc(Br)c1OCc1ccccc1,0.0012,0.0009,0.0007,0.0002,0.1198,0.0043,0.0038,0.0103,0.0252,0.0013,0.0011,0.0027,0.4073,0.0221,0.0121,0.0315,0.0385,0.001,0.0012,0.0047,0.0466,0.0015,0.0016,0.0078,0.0636,0.0029,0.0033,0.0108,0.0638,0.0112,0.0068,0.0068,0.0,0.0,0.0,0.0,0.5497,0.5574,0.9336,0.9949,0.9375,0.786,0.5944,0.6506,0.4858,0.0851,0.005,0.0034,0.0083,0.7211,0.7183,0.746667,684,0.722222,0.771429,c1ccc(CNCCNCc2ccccc2)cc1,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,KEPT,,0.538462,0.754098,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
O=C(COc1ccccc1O)NN=Cc1ccc([N+](=O)[O-])cc1,0.0009,0.0007,0.0005,0.0001,0.0889,0.0038,0.0038,0.0088,0.038,0.0024,0.0018,0.0034,0.3694,0.0204,0.0118,0.0304,0.0582,0.0017,0.0019,0.0059,0.0971,0.0047,0.0044,0.0121,0.0962,0.0053,0.0053,0.0133,0.0486,0.0083,0.0053,0.006,0.0001,0.0,0.0,0.0,0.7411,0.4343,0.7909,0.6493,0.8703,0.854,0.8162,0.6398,0.2972,0.0886,0.0053,0.0039,0.0089,0.677,0.7656,0.661290,683,0.661290,0.666667,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,COC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,KEPT,,0.629630,0.742857,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1
O=C(O)c1cc(C=Cc2ccc(Cl)c([N+](=O)[O-])c2)nc(C(F)(F)F)n1,0.0025,0.002,0.0014,0.0004,0.2214,0.0151,0.0104,0.0143,0.0873,0.008,0.005,0.0055,0.5547,0.0906,0.0387,0.0476,0.1586,0.0071,0.0061,0.0105,0.1371,0.0084,0.0073,0.0149,0.2263,0.0212,0.016,0.022,0.1182,0.0249,0.0131,0.0097,0.0,0.0,0.0009,0.0001,0.3384,0.3776,0.8148,0.9497,0.9884,0.7496,0.901,0.7381,0.5334,0.1673,0.0197,0.011,0.0139,0.7101,0.61,0.771930,682,0.771930,0.726027,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,KEPT,,0.500000,0.657143,O=[N+]([O-])c1cnc(CO)n1CCO,Oc1c(Cl)cc(Cl)c2cccnc12
CN(C)c1nc(CNCc2ccccc2)c(Cl)n1-c1ccccc1,0.0026,0.0022,0.0016,0.0005,0.2325,0.0112,0.0076,0.0145,0.0395,0.0025,0.0018,0.0035,0.4289,0.0244,0.0132,0.0354,0.0449,0.0012,0.0014,0.0051,0.0541,0.0018,0.0019,0.0085,0.0911,0.0047,0.0048,0.013,0.0629,0.0111,0.0067,0.0067,0.0001,0.0001,0.0,0.0,0.4893,0.5082,0.8664,0.9697,0.9762,0.8074,0.6518,0.6369,0.3943,0.1063,0.0066,0.0044,0.0097,0.7,0.6479,0.746479,681,0.625000,0.760870,c1ccc(CNCCNCc2ccccc2)cc1,NNCCc1ccccc1,KEPT,,0.588235,0.704545,N[C@@H]1CONC1=O,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
O=[N+]([O-])c1cccnc1Sc1nnc(NCc2ccco2)s1,0.0096,0.009,0.0065,0.0021,0.4355,0.2637,0.1157,0.0127,0.0636,0.0049,0.0033,0.0045,0.5725,0.1016,0.0419,0.0475,0.122,0.0047,0.0044,0.0089,0.2098,0.018,0.0142,0.0191,0.1993,0.0165,0.013,0.02,0.0781,0.0146,0.0084,0.0077,0.0,0.0002,0.0001,0.0,0.5402,0.519,0.8235,0.9407,0.9618,0.7224,0.822,0.7201,0.3779,0.1878,0.0481,0.0231,0.0136,0.7142,0.7287,0.783784,680,0.783784,0.730159,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,O=[N+]([O-])c1ccc(O)c2ncccc12,KEPT,,0.793103,0.796296,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1
Cc1nn(Cc2ccccc2)c(Cl)c1CNC(C)c1ccc(Cl)cc1,0.0024,0.002,0.0014,0.0004,0.4028,0.0303,0.0154,0.0178,0.0396,0.0025,0.0018,0.0034,0.4727,0.033,0.0164,0.0368,0.1452,0.0058,0.0052,0.0095,0.1471,0.0085,0.0073,0.0148,0.0801,0.0039,0.0041,0.0118,0.059,0.0102,0.0063,0.0065,0.0076,0.0011,0.0001,0.0,0.55,0.4373,0.6901,0.9992,0.9799,0.7265,0.7661,0.6833,0.3628,0.1507,0.0108,0.0065,0.0112,0.6883,0.6316,0.773333,679,0.770833,0.696429,c1ccc(CNCCNCc2ccccc2)cc1,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,KEPT,,0.562500,0.690476,N[C@@H]1CONC1=O,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
O=C(Nc1ccc(Cl)c(Cl)c1)N1CC=C(c2ccc(O)cc2)CC1,0.0013,0.001,0.0007,0.0002,0.0261,0.0008,0.0011,0.0054,0.022,0.0011,0.0009,0.0026,0.0503,0.0007,0.0009,0.0073,0.0048,0.0001,0.0002,0.0015,0.0219,0.0005,0.0007,0.0052,0.0199,0.0007,0.001,0.0059,0.0363,0.0059,0.0041,0.0052,0.0,0.0,0.0,0.0,0.5059,0.5437,0.8473,0.9212,0.9761,0.8594,0.6525,0.7842,0.5256,0.0203,0.0012,0.0011,0.0037,0.7351,0.7696,0.755102,678,0.755102,0.811111,Cc1cc(O)ccc1Cl,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=S)Nc4cc(C(F)(F)F)ccc4Cl)CC3)cc21,KEPT,,0.734375,0.641026,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
O=C(NNc1ccc(S(=O)(=O)N2CCCCC2)cn1)Nc1ccc(Cl)c(Cl)c1,0.0026,0.0022,0.0016,0.0005,0.0007,0.0,0.0001,0.0011,0.0142,0.0006,0.0006,0.0021,0.0009,0.0,0.0,0.0007,0.0025,0.0,0.0001,0.0011,0.0108,0.0002,0.0003,0.0035,0.0043,0.0001,0.0002,0.0027,0.0303,0.0048,0.0035,0.0048,0.0,0.0,0.0,0.0,0.8331,0.5598,0.9326,0.9143,0.9958,0.8162,0.6821,0.525,0.4963,0.0074,0.0009,0.0007,0.0018,0.7506,0.6586,0.790323,677,0.786885,0.782051,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,FILTERED,motif:sulfonamide_h1,0.745763,0.716667,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
NS(=O)(=O)c1ccc(NC(=O)NNc2ccc(F)cc2Br)cc1,0.0031,0.0027,0.0019,0.0006,0.0038,0.0001,0.0003,0.0029,0.0286,0.0016,0.0013,0.003,0.0203,0.0002,0.0004,0.0045,0.0114,0.0002,0.0004,0.0025,0.0474,0.0016,0.0017,0.008,0.025,0.0009,0.0014,0.0069,0.0373,0.0061,0.0042,0.0053,0.0,0.0,0.0,0.0,0.6746,0.4584,0.6862,0.8886,0.9836,0.7005,0.6413,0.5739,0.4336,0.0197,0.0015,0.0013,0.0038,0.6712,0.6684,0.704545,676,0.704545,0.788732,Nc1ccc(S(N)(=O)=O)cc1,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,FILTERED,motif:sulfonamide_h1,0.684211,0.500000,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
