smiles,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CN(C(=O)CC=1C=NC2=CC=CC=C2C1)C=3C=CC(=NC3)N4CCOCC4,Z1787393225,362.426,362.426,1.27,-3.501,0,5,58.56,4,https://real.enamine.net/public-enum-files/Z1787393225
CC1=CC(Cl)=C(C)C=C1C(=O)N2CCN(CC2)C=3C=CC(=CC3)C(N)=O,Z1952215885,371.861,371.861,3.259,-5.681,1,3,66.64,3,https://real.enamine.net/public-enum-files/Z1952215885
O=C(C1CC=2C=CC(F)=CC21)N3CCN(CC3)C=4N=CN=C5C=CSC45,Z1952269553,368.43,368.43,3.092,-4.759,0,4,49.33,2,https://real.enamine.net/public-enum-files/Z1952269553
CCNC=1C=CC(Cl)=CC1C(=O)N2C3CCC2CC(=O)NC3,Z1952374878,321.802,321.802,1.939,-3.429,2,3,61.44,4,https://real.enamine.net/public-enum-files/Z1952374878
CC1CCN(CC1N2C=CN=C2)C(=O)[C@@H](O)CC=3C=CC=CC3,Z1952454129,313.395,313.395,1.808,-2.655,1,3,58.36,5,https://real.enamine.net/public-enum-files/Z1952454129
CC=1OC(=NC1CC(=O)N2CCNC(C)(C)C2)C=3C=CC=CC3,Z1330145460,313.395,313.395,2.265,-3.06,1,3,58.37,4,https://real.enamine.net/public-enum-files/Z1330145460
COC=1C=CC(C=2C=CC(C(=O)NCC3(CCC3)S(C)(=O)=O)=C(F)C2)=C(F)C1,Z1953604610,409.449,409.449,2.9,-5.854,1,4,72.47,6,https://real.enamine.net/public-enum-files/Z1953604610
N#CC=1C=CC(=CC1)C(O)CN2N=C(C=CC2=O)C=3C=CC=4OCCCOC4C3,Z1431624518,389.405,389.405,1.188,-4.696,1,6,95.15,4,https://real.enamine.net/public-enum-files/Z1431624518
O=C(CCSC=1C=CC(Cl)=CC1)NC=2C=CC=C(C2)S(=O)(=O)NC=3C=NNC3,Z1330135124,436.938,436.938,3.791,-5.127,3,4,103.95,9,https://real.enamine.net/public-enum-files/Z1330135124
O=C(NCC=1C=CC(=NC1)N2C=CN=C2)C=3C=CN(N3)C4CCCC4,Z1431658208,336.392,336.392,1.401,-2.835,1,4,77.63,6,https://real.enamine.net/public-enum-files/Z1431658208
COC=1C=CC=C2SC(=NC12)NC(=O)C3CCCOC3C,Z1839458114,306.382,306.382,3.194,-3.629,1,4,60.45,4,https://real.enamine.net/public-enum-files/Z1839458114
CC=1C=C(Br)C=2C=CC=CC2C1NC(=O)C3=CN(CCN(C)C)N=N3,Z1432904440,402.289,402.289,2.783,-4.404,1,4,63.05,5,https://real.enamine.net/public-enum-files/Z1432904440
CC=1C=CC(=CC1N2C(=O)CNC2=O)NC(=O)C=3C=CC(=CC3)CN4C=CC=N4,Z1954484584,389.408,389.408,1.124,-3.709,2,4,96.33,5,https://real.enamine.net/public-enum-files/Z1954484584
CCC1=NNC(=O)C(C(=O)N(C)C=2C=CN(C)N2)=C1CC,Z1728678187,289.334,289.334,-0.755,-2.859,1,4,79.59,5,https://real.enamine.net/public-enum-files/Z1728678187
CC=1N=C(NC2CC2)SC1C(=O)NCC=3C=CC(F)=CC3,Z1331795460,305.372,305.372,3.367,-4.09,2,3,54.02,6,https://real.enamine.net/public-enum-files/Z1331795460
CC=1NC=2C=CC=CC2C1CC(=O)NC3CCCOC3CC(C)C,Z1728499600,328.449,328.449,3.717,-4.546,2,2,54.12,6,https://real.enamine.net/public-enum-files/Z1728499600
