,smiles
7342,CC1=NC2=C(CCCC2CNC(=O)NC3CC(C3)NS(C)(=O)=O)S1
399,CC=1C=CC=C2N=C(CNC(=O)C=3C=CC4=C(C3)NC(=O)N4C)N(C)C12
6064,CC(NC(=O)C=1C=CC(=CC1N2CCCC2)C(F)(F)F)C=3N=CNN3
6405,CON1CCC(CC1)NC(=O)C2CC(=NO2)C=3C=NN(C)C3
1651,"O=C(N[C@H]1C=2C=CC=CC2OC[C@H]1O)C3CCN(CC3)C4CCS(=O)(=O)C4 |&1:3,12,r|"
6947,O=C(CC1=NNC(=O)C=2C=CC=CC12)NC=3C=CC(O)=NN3
5027,CC1=CC=C(C(=O)NC2=CC=C(C=C2C)C(=O)NC3CCCC3)C(=O)N1
8401,CC(C)(C)CC=1C=CC=CC1C(=O)NCC2=NN=C3C(=O)NC=CN23
8471,O=C(NCC1CCCN(C1)C2=CC=C3C=CC=CC3=N2)C4CCCN4
3238,COC=1C=CC(F)=CC1CNC=2NN=CC2C(=O)N(C)C
3670,CCNC1=NC(=CS1)C(=O)N2CCC=3C=C(Cl)C=CC3C2
1953,CC(C(=O)NC(N)=O)N1CCCC(C1)NC=2C=CC=CC2
1973,O=C(CC=1C=CC=2NC(=O)NC2C1)N3CCOC(C3)C=4C=CC=CC4
4226,CN1C=NC=2C(=NC=NC21)N3CCC[C@H]3COC=4C=CC=CC4
6133,CC=1C=C(N=C(N1)C(C)C)N2CCN(CC2)C=3C=CC4=NC=CN=C4N3
3301,CCC=1C=CC=C(C1)S(=O)(=O)NCCCC=2C=CC=NC2
5061,CCOC=1C=C(C)N=C(N1)N2CCN(CC2)C(=O)C=3C=CN(N3)C=4C=CC=CC4
4954,CCC1=CNC=2N=CN=C(C12)N3CCCC(C3)N4C=C(C)C=N4
2667,COCC1(CC(=O)N2CC(C2)C=3C=NC=4C=CC=CC4N3)CC1
9535,CC=1C=C(F)C=CC1C=2C=NC(=CN2)C(=O)N3CCNC(C)(C)C3
7751,O=C(NC1CCN(C1)C=2N=CC=CC2F)C=3C=C(O)C=CN3
6497,COC(C)(C(=O)N1CC(C1)OC=2C=CC(C#N)=CC2)C3CC3
7912,CC1=NC2=CC(O)=NN2C(C)=C1CCC(=O)N[C@@H](CO)C=3C=CC=CC3
3706,CC(C)(C)C(=O)NCC=1C=CC(=CC1)C(=O)N2CCC(O)(CC2)C(F)F
3246,"O=C(O)[C@]12C[C@H]1CCCN2CC3=CN(N=N3)C=4C=CC=CC4 |&1:3,5,r|"
4652,CC1(CC1)C=2C=CC=CC2C(=O)NCC=3C=CC=C(C3)S(N)(=O)=O
1042,CC(NC(=O)C=1C=NN(C1N2C=CC=C2)C=3C=CC=CC3F)C(=O)NCC4=CC=CO4
2426,CC1C=2NC=3C=CC=CC3C2CCN1C(=O)C=4C=CC=5C(=O)N(CC=6C=CN=CC6)C(=O)C5C4
3025,O=C(NC=1C=C(C=CC1O)CC=2C=CC=CC2)C=3C=CC=C(N3)N4C=CN=C4
6987,CC=1C=C(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)C4=NC=CN4C)ON1
7122,CC1=NOC=2N=C(C=C(C3=NC(=NO3)C4=CN=C5C=NC=CN45)C12)C6=CC=CO6
5958,COC=1C=C(N=C(N1)N2CCN(CC2)C=3C=CN=C(C)N3)C(F)(F)F
4900,CC=1C=NC(=CC1C)C(=O)N2CCCNC(=O)C2CC=3C=CC=CC3
126,O=C(C=1C=CC(=NC1)N2C=CC=N2)N3CCOC(CC3)C=4C=CC=CC4
1315,CC1=CC=C(C(=O)NC=2C=CC=C(C2)OC=3C=CN=C4C=CC=CC34)C(=O)N1
3945,CC1(NC(=O)NC1=O)C=2C=CC(=CC2)C(=O)NCC=3C=CC(=CC3)CN4CCNC4=O
3825,CC(NC1=CN(C)N=C1OCC(F)F)C(=O)N2CC(=O)NC3=CC=CC=C32
5478,NC(=O)[C@@H]1CC=2C=CC=CC2CN1C(=O)CN3C=C4C=CC=CC4=N3
1494,CCOC=1C=CC(=CC1)CCC2=NC(=NO2)C3=CNC(=O)C=N3
2187,O=C(CCC=1C=NNC1)N2CC3CCN(C(=O)CC4CCCCC4)C(C3)C2
4641,CC=1C=CC(=CC1Cl)C(=O)N2CC3(C2)CC(O)CNC3=O
4603,CC1=CC(C)=NN1C=2C=CC(=CC2F)NC(=O)C3(C)CC(F)(F)C3
3478,CCCN(CC(=O)NC=1C=CC(Cl)=CC1Cl)C(=O)C=2C=C3C(=O)NC=NC3=CN2
5841,CC=1C=C(N=C(C)N1)N2CCC(CC2)NC=3N=CC=C(N3)C4=CN=CC=N4
9263,COC=1C=C(N=CN1)C(=O)N2CCCC3(CCCC4=CC=CC=C43)C2
4117,O=C(O)CC1(CCOCC1)NC(=O)C2=CC(=NS2)C=3C=CC=CC3
4929,O=C(C=1ON=C2CCCCC12)N3COCCC3C=4C=CC=CC4
8767,CC=1C=CC=2OC(=CC2C1)CN(CC3=CC=CO3)C(=O)C4=CC=C5NC(=O)NC5=C4
2395,CC=1NN=CC1C(=O)NCC2CC(C)N(C2)C3=NC=4C=CC(F)=CC4O3
748,CCN1C=CC(=N1)C(=O)NC=2C=CC(=CC2)C(=O)NC3CCCCC3
7868,O=C(CCC1CCCO1)N2CCC(CC2)C(O)C=3C=CC=CC3
1490,CC=1OC=NC1CN2CCN(CC2)C(=O)CC3=CC=CC(O)=C3
4910,CCS(=O)(=O)N1CCN(CC1)C(=O)C=2C=NN(C2)C=3C=CN=CC3
4701,CN1N=C(C=C1C2CC2)CNC(=O)CN3CCCCC(O)C3=O
3732,FC=1C=CC=C2C(=NC=NC12)OC=3C=CC(=CC3)N4C=CC=N4
5136,CN1CCC=2C=CC(=CC2C1=O)NC(=O)N3CCC(O)C3
