smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id,known_antibiotics_novelty,hts_hit_novelty,closest_antibiotic,closest_hts_hit,filter_status,filter_reason,scaffold_antibiotics_novelty,scaffold_hts_hit_novelty,closest_antibiotic_scaffold,closest_hts_hit_scaffold
N#CCOc1ccccc1C=Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,0.0018,0.0014,0.001,0.0003,0.3948,0.0412,0.0218,0.0216,0.1054,0.0104,0.0063,0.0062,0.4626,0.0312,0.0162,0.0393,0.418,0.0475,0.03,0.0228,0.1456,0.0087,0.0076,0.0154,0.2373,0.0227,0.017,0.0233,0.0856,0.0162,0.0092,0.0079,0.0,0.0,0.0,0.0,0.826,0.8415,0.8497,0.9979,0.9999,0.9511,0.9355,0.9377,0.7033,0.2057,0.0199,0.0121,0.0152,0.8936,0.6675,0.716667,844,0.716667,0.629630,Oc1c(I)cc(Cl)c2cccnc12,Oc1c(Cl)cc(Cl)c2cccnc12,KEPT,,0.620690,0.620690,O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
CCC(C)(C)C1CC(=Cc2c(Cl)cccc2Cl)c2nc3ccccc3c(C(=O)O)c2C1,0.0055,0.0048,0.0035,0.0011,0.34,0.0203,0.0124,0.024,0.1025,0.0095,0.0058,0.0059,0.4207,0.0211,0.0123,0.0409,0.2416,0.0139,0.0107,0.0141,0.1901,0.0135,0.0112,0.0188,0.1652,0.0112,0.0097,0.0181,0.1501,0.0334,0.0166,0.0109,0.0486,0.0611,0.025,0.1289,0.2116,0.4678,0.5919,0.9305,0.9029,0.6825,0.474,0.6586,0.4463,0.1849,0.021,0.0119,0.0292,0.5962,0.6875,0.782609,843,0.782609,0.779221,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,CCc1ccc(Nc2c3c(nc4ccccc24)CCC3)cc1,KEPT,,0.638889,0.638889,O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
NC(=O)C(OC(=O)c1ccc([N+](=O)[O-])s1)c1ccc(F)cc1,0.0033,0.0028,0.002,0.0006,0.3645,0.0557,0.0279,0.0144,0.1039,0.0103,0.0061,0.0058,0.5419,0.1001,0.0413,0.0411,0.2105,0.0111,0.0088,0.0122,0.2558,0.0274,0.0205,0.0218,0.3338,0.0459,0.029,0.027,0.0801,0.0151,0.0086,0.0077,0.0,0.1579,0.0182,0.0,0.3429,0.3277,0.8267,0.7736,0.9898,0.7324,0.7311,0.7283,0.2583,0.2104,0.0474,0.0181,0.0145,0.6345,0.6842,0.696970,842,0.696970,0.777778,O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,KEPT,,0.716981,0.718750,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
O=C(Nc1cccc(Cl)c1O)c1ccc(C(F)(F)F)[nH]c1=O,0.0066,0.0058,0.0042,0.0014,0.4824,0.2407,0.1037,0.0164,0.1183,0.0127,0.0073,0.0065,0.5659,0.0832,0.035,0.0462,0.3431,0.0287,0.0195,0.0182,0.1758,0.0126,0.0105,0.0173,0.3391,0.046,0.0293,0.0281,0.1002,0.0199,0.0109,0.0088,0.0,0.0001,0.0001,0.0,0.5125,0.6809,0.2671,0.1147,0.806,0.8247,0.7339,0.8369,0.6,0.2368,0.05,0.0245,0.0159,0.5974,0.7096,0.796610,841,0.796610,0.750000,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,O=C(Nc1ccccc1)c1ccccc1O,KEPT,,0.638298,0.512195,NC1Cc2ccc(c(Cl)c2)Oc2cc3cc(c2O)Oc2ccc(cc2Cl)C(O)C2NC(=O)C(NC(=O)C3NC(=O)C(c3cc(O)cc(Oc4cc(C5NC(=S)N(c6ccccc6)C5=O)ccc4O)c3)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)O)NC2=O,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
CC(C)(C)C(=O)C=c1[nH]c(=O)c(=Cc2c(F)c(F)c(F)c(F)c2F)s1,0.0097,0.0087,0.0064,0.0022,0.415,0.0469,0.0244,0.0235,0.1392,0.0162,0.0092,0.0076,0.4315,0.0276,0.0148,0.0363,0.0769,0.0026,0.0028,0.0078,0.2048,0.017,0.0139,0.0207,0.2394,0.0235,0.0175,0.0236,0.1113,0.0228,0.0122,0.0094,0.0,0.0,0.0,0.0001,0.4111,0.3555,0.131,0.0022,0.0541,0.4245,0.6087,0.7143,0.2182,0.1809,0.0184,0.0112,0.0146,0.3244,0.7118,0.844156,840,0.844156,0.796296,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,CC(=O)On1cc(F)c(=O)[nH]c1=O,KEPT,,0.764706,0.777778,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,CC(N)O.Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1
COc1ccc(Br)cc1C=C1SC(=NC2CCCC2)NC1=O,0.0022,0.0018,0.0013,0.0004,0.4435,0.0486,0.024,0.0227,0.0613,0.0046,0.0031,0.0044,0.5375,0.0496,0.0229,0.0454,0.1935,0.0095,0.0079,0.012,0.0778,0.0032,0.0032,0.0105,0.2596,0.0249,0.0181,0.0237,0.0892,0.0171,0.0096,0.0082,0.0,0.0,0.0,0.0,0.3857,0.3522,0.4558,0.9277,0.9889,0.762,0.8245,0.6945,0.4373,0.185,0.0177,0.01,0.0141,0.6476,0.7423,0.821053,839,0.822785,0.812500,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,KEPT,,0.782609,0.755102,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Cc1c2oc3c(C)ccc(C(=O)OC(C)C4NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)OC(C)C2NC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O
Clc1ccccc1Cn1cc(CNCCC2=CCCCC2)cn1,0.0025,0.002,0.0015,0.0004,0.3281,0.0195,0.0112,0.0169,0.0357,0.0021,0.0016,0.0033,0.5056,0.0401,0.0191,0.0406,0.0785,0.0024,0.0026,0.0068,0.1449,0.0082,0.0071,0.0148,0.0924,0.0046,0.0048,0.0127,0.0565,0.0097,0.006,0.0063,0.6445,0.0022,0.0,0.0,0.2641,0.3999,0.2483,0.944,0.635,0.5297,0.4088,0.5407,0.3126,0.2099,0.0101,0.006,0.0113,0.4759,0.7378,0.797619,838,0.716981,0.803030,c1ccc(CCNCc2ccccc2)cc1,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,KEPT,,0.638298,0.750000,Cc1cc(O)ccc1Cl,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
Cc1cc(C)n(CCCNCc2cn(Cc3ccccc3)nc2-c2ccccc2)n1,0.0054,0.0049,0.0035,0.0011,0.4414,0.036,0.018,0.0221,0.0544,0.0038,0.0026,0.0041,0.5176,0.0414,0.0198,0.044,0.0728,0.0022,0.0024,0.0066,0.1451,0.0082,0.0071,0.0149,0.2055,0.0155,0.0124,0.0204,0.0902,0.017,0.0094,0.008,0.7717,0.0224,0.0132,0.0035,0.2527,0.2285,0.0489,0.0309,0.942,0.5664,0.5382,0.4348,0.3557,0.256,0.0168,0.0098,0.0139,0.3776,0.7523,0.809524,837,0.730769,0.758065,c1ccc(CNCCNCc2ccccc2)cc1,Cn1sc(=O)n(Cc2ccccc2)c1=O,KEPT,,0.714286,0.694915,N[C@@H]1CONC1=O,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
O=[N+]([O-])c1ccc(NCCc2nc(C(F)(F)F)cs2)cn1,0.0061,0.0055,0.004,0.0012,0.3744,0.3827,0.1797,0.0092,0.0625,0.0048,0.0032,0.0045,0.4913,0.332,0.1328,0.0322,0.2021,0.0104,0.0084,0.0121,0.2298,0.0219,0.0169,0.0208,0.2968,0.0364,0.0245,0.026,0.0918,0.018,0.01,0.0084,0.0,0.0591,0.0359,0.0005,0.3379,0.4227,0.8864,0.6411,0.9051,0.753,0.7442,0.5662,0.3703,0.195,0.0968,0.0462,0.0128,0.6252,0.648,0.779221,836,0.779221,0.809524,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,O=C1NCCN1c1ncc([N+](=O)[O-])s1,KEPT,,0.730769,0.763636,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)[C@H]3SC2)cc1,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
c1ccc2c(c1)CN(CCCNCc1ccc3ccccc3c1)C2,0.003,0.0025,0.0018,0.0005,0.2969,0.0157,0.0101,0.0212,0.0643,0.0048,0.0032,0.0044,0.4557,0.0261,0.0141,0.0408,0.1548,0.0065,0.0057,0.0102,0.1865,0.0126,0.0104,0.0175,0.2825,0.0279,0.0201,0.0261,0.1027,0.02,0.0107,0.0085,0.9973,0.0005,0.001,0.0001,0.1863,0.2233,0.027,0.972,0.4278,0.6022,0.5014,0.4528,0.2818,0.2826,0.0129,0.0086,0.0144,0.4083,0.6994,0.738095,835,0.675000,0.753247,c1ccc(CNCCNCc2ccccc2)cc1,CCCC[P+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,KEPT,,0.675000,0.686275,N[C@@H]1CONC1=O,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
