smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id
Clc1ccccc1Oc1cccc(CNC2CCC3CNCC3C2)c1,0.0065,0.0059,0.0042,0.0013,0.5442,0.0627,0.0272,0.0254,0.0743,0.0059,0.0038,0.0048,0.598,0.0734,0.0308,0.0516,0.1767,0.0079,0.0067,0.0109,0.2864,0.0294,0.0214,0.0228,0.347,0.042,0.0274,0.0286,0.1199,0.0243,0.0126,0.0093,0.7489,0.1821,0.0057,0.0001,0.5579,0.6149,0.9357,0.9974,0.8931,0.8382,0.6749,0.6919,0.5106,0.3225,0.0482,0.0155,0.0172,0.7461,0.6528,0.819672,193
CN(c1nc(Cl)c(C#N)s1)[C@@H]1CCO[C@H]1c1cccnc1,0.0185,0.0182,0.0132,0.0046,0.2548,0.6445,0.3664,0.004,0.0683,0.0055,0.0036,0.0047,0.4019,0.4906,0.2168,0.0235,0.359,0.0315,0.0207,0.018,0.2492,0.0254,0.0191,0.0212,0.3582,0.0548,0.0336,0.0287,0.0858,0.0164,0.0093,0.008,0.0,0.0023,0.0011,0.0,0.0441,0.1533,0.0542,0.0016,0.0078,0.2895,0.2106,0.3267,0.0999,0.1995,0.1432,0.076,0.0125,0.132,0.6576,0.834711,192
COc1cc(C(=O)NC(Cc2ccccc2O)C(=O)O)cc(F)c1F,0.0054,0.0047,0.0034,0.0011,0.1374,0.0062,0.0056,0.0161,0.0614,0.0046,0.0032,0.0046,0.488,0.0358,0.0197,0.0579,0.0184,0.0004,0.0006,0.0033,0.1418,0.0086,0.0078,0.017,0.0831,0.0048,0.0053,0.0153,0.1169,0.0245,0.013,0.0097,0.7356,0.1058,0.0614,0.0873,0.1829,0.1932,0.6051,0.0354,0.4869,0.5101,0.4001,0.5623,0.1725,0.1987,0.0217,0.0133,0.0236,0.3498,0.6016,0.770492,187
O=C(O)c1cc(-c2cc(F)c(O)c(F)c2)c2ccccc2c1O,0.006,0.0052,0.0038,0.0012,0.2569,0.0167,0.0122,0.0273,0.4455,0.2122,0.1317,0.0687,0.6259,0.0881,0.0455,0.12,0.0534,0.0017,0.0021,0.0072,0.4968,0.1738,0.1389,0.1119,0.3208,0.0499,0.0384,0.0487,0.2441,0.0718,0.0332,0.0173,0.0021,0.0934,0.025,0.0009,0.8242,0.6939,0.936,0.9934,0.998,0.955,0.9498,0.8955,0.786,0.2724,0.0792,0.0479,0.0448,0.8924,0.7368,0.754098,186
CON(CCNC(=O)c1cccc(Cl)c1O)C(=O)OC(C)(C)C,0.0065,0.0059,0.0042,0.0013,0.4776,0.1554,0.0664,0.0164,0.0711,0.0057,0.0037,0.0048,0.5566,0.1039,0.0424,0.043,0.242,0.0143,0.0109,0.0139,0.1742,0.0121,0.0101,0.0173,0.153,0.0106,0.0093,0.0177,0.0638,0.0114,0.0069,0.0068,0.0,0.0009,0.0001,0.0,0.2116,0.253,0.4525,0.6527,0.939,0.742,0.3701,0.5634,0.1587,0.1939,0.0356,0.0171,0.0135,0.4826,0.6183,0.810345,185
Nc1nc2cnc(N3CC4CCCC(C3)C(=O)N4)nc2s1,0.0017,0.0013,0.001,0.0003,0.4646,0.1677,0.0705,0.0141,0.0315,0.0018,0.0014,0.0031,0.5372,0.1043,0.0425,0.039,0.025,0.0006,0.0008,0.0037,0.057,0.002,0.0021,0.0088,0.1571,0.0106,0.0091,0.017,0.0495,0.0084,0.0054,0.0061,0.0,0.0015,0.0032,0.0003,0.052,0.08,0.0176,0.0159,0.0089,0.04,0.0555,0.1139,0.1978,0.1471,0.0331,0.0151,0.0103,0.0646,0.6051,0.842105,182
COCC1(CNc2cc(C)nc(N(C)c3ccccc3)n2)CCOCC1,0.0035,0.0031,0.0022,0.0007,0.2887,0.0163,0.0103,0.0183,0.0362,0.0022,0.0016,0.0033,0.41,0.0219,0.0124,0.0353,0.0239,0.0005,0.0008,0.0037,0.0742,0.0029,0.0029,0.0104,0.1144,0.0065,0.0063,0.0151,0.0557,0.0096,0.006,0.0064,0.1286,0.1396,0.0696,0.0588,0.0231,0.2761,0.014,0.0006,0.0196,0.1822,0.2472,0.2505,0.1639,0.1262,0.0225,0.0125,0.0169,0.1308,0.6173,0.83871,180
CC(c1ccc(Cl)cc1)N(Cc1cccc2c1OCCCO2)C(=O)CCl,0.0024,0.0019,0.0014,0.0004,0.2568,0.0159,0.01,0.0135,0.0787,0.0066,0.0042,0.0049,0.4117,0.0297,0.0156,0.0311,0.2085,0.0108,0.0087,0.0123,0.3563,0.0545,0.0368,0.0272,0.2994,0.0346,0.0233,0.0255,0.0862,0.0163,0.0091,0.0078,0.0,0.0003,0.0003,0.0,0.205,0.1442,0.0839,0.2955,0.0402,0.4373,0.1746,0.5179,0.2382,0.1889,0.019,0.0122,0.0136,0.2374,0.6865,0.820896,179
COc1cc(F)cc(CN(C(=O)CCl)C2CCOCC2)c1,0.0034,0.0028,0.0021,0.0006,0.1841,0.0088,0.0064,0.0118,0.0859,0.0076,0.0047,0.0052,0.4779,0.0535,0.0248,0.0363,0.1264,0.0049,0.0045,0.0091,0.3741,0.0636,0.0423,0.0285,0.2723,0.0282,0.0199,0.024,0.088,0.0167,0.0093,0.008,0.0,0.0002,0.0002,0.0,0.0679,0.1153,0.0531,0.003,0.0013,0.3851,0.0391,0.2473,0.159,0.1791,0.0207,0.0127,0.0137,0.119,0.6048,0.782051,177
CC(C)C(c1ccccc1)N(Cc1cncs1)C(=O)CCl,0.0043,0.0037,0.0027,0.0008,0.2017,0.0092,0.0065,0.0125,0.0931,0.0085,0.0052,0.0054,0.4137,0.026,0.0141,0.0335,0.2332,0.013,0.01,0.0131,0.381,0.0646,0.0428,0.029,0.2207,0.0189,0.0145,0.021,0.12,0.0246,0.0127,0.0093,0.0,0.0,0.0,0.0,0.1364,0.0815,0.0657,0.0896,0.0127,0.4037,0.0768,0.4715,0.2399,0.1853,0.0187,0.0121,0.0138,0.1753,0.6318,0.802632,176
C[C@H](N)c1csc(NC(=O)[C@@H]2CNC[C@H]2c2ccc(Cl)cc2)n1,0.0069,0.0064,0.0046,0.0014,0.5331,0.0598,0.0266,0.0263,0.1039,0.01,0.006,0.0061,0.6416,0.0949,0.0404,0.0722,0.0478,0.0013,0.0016,0.0054,0.1661,0.0106,0.0089,0.0163,0.1586,0.0106,0.0092,0.0178,0.1087,0.0218,0.0117,0.0091,0.214,0.01,0.0055,0.0105,0.1162,0.2871,0.2964,0.0002,0.0119,0.7051,0.0859,0.5414,0.3577,0.2201,0.025,0.0127,0.0183,0.2669,0.6659,0.78481,175
O=C(C(F)Cl)N1CCC2(CC1)Cc1ccccc1NC2=O,0.0027,0.0021,0.0016,0.0005,0.4652,0.1261,0.0544,0.016,0.101,0.0098,0.0058,0.0057,0.5431,0.241,0.0926,0.0378,0.1756,0.0082,0.007,0.0112,0.2541,0.0257,0.0192,0.0216,0.3464,0.0487,0.0306,0.028,0.0686,0.0124,0.0073,0.007,0.0,0.0,0.0,0.0,0.029,0.107,0.0104,0.0002,0.0003,0.0478,0.0294,0.076,0.0762,0.2174,0.0527,0.0243,0.0142,0.0418,0.6743,0.810345,169
N#Cc1nccnc1Oc1ccc(NC(=O)C(F)Cl)cc1,0.0026,0.0021,0.0016,0.0005,0.4218,0.2628,0.1155,0.0118,0.0978,0.0094,0.0057,0.0057,0.4408,0.4383,0.1854,0.0268,0.5652,0.1268,0.0649,0.0262,0.2735,0.0313,0.0228,0.0225,0.4565,0.1072,0.0577,0.0342,0.1036,0.0207,0.0112,0.0088,0.0,0.0,0.0,0.0,0.0994,0.1833,0.2426,0.0215,0.0309,0.3443,0.4757,0.4306,0.2177,0.2624,0.111,0.0517,0.0152,0.2273,0.6278,0.811321,168
O=C(Nc1ccc2oc(C(F)(F)F)cc(=O)c2c1)C(F)Cl,0.0048,0.0041,0.003,0.001,0.3645,0.0503,0.0256,0.0152,0.0872,0.0079,0.0049,0.0053,0.5433,0.1471,0.058,0.0391,0.2471,0.0148,0.0112,0.0138,0.1797,0.0133,0.0109,0.0173,0.2479,0.0245,0.0177,0.0224,0.0751,0.0139,0.0081,0.0074,0.0,0.0001,0.0002,0.0,0.0595,0.351,0.0753,0.0005,0.0093,0.4582,0.2831,0.4517,0.3423,0.1944,0.0307,0.0155,0.0135,0.2256,0.6303,0.833333,167
CC(c1cccc([N+](=O)[O-])c1)N(C)c1ccnc(C#N)n1,0.0056,0.005,0.0036,0.0011,0.4507,0.2015,0.0858,0.0132,0.0846,0.0074,0.0047,0.0053,0.5563,0.151,0.0596,0.0421,0.2783,0.0187,0.0136,0.0153,0.1845,0.0139,0.0114,0.0176,0.1897,0.0148,0.0119,0.0192,0.0779,0.0145,0.0084,0.0076,0.0005,0.0036,0.0021,0.0007,0.0326,0.1626,0.0949,0.1127,0.167,0.0934,0.5687,0.414,0.1805,0.2031,0.0478,0.0224,0.0136,0.2029,0.6773,0.739726,163
CC(C)(CNC(=O)Cc1csc(C2CCNCC2)n1)c1c(Cl)cccc1Cl,0.0048,0.0043,0.0031,0.0009,0.3342,0.0209,0.0122,0.0191,0.0403,0.0025,0.0019,0.0035,0.4403,0.0256,0.014,0.039,0.0184,0.0004,0.0006,0.0032,0.1433,0.0082,0.0072,0.0152,0.07,0.0033,0.0037,0.0116,0.0655,0.0116,0.007,0.0069,0.0422,0.1674,0.0725,0.0129,0.1879,0.3119,0.3897,0.4388,0.0664,0.7118,0.3634,0.4351,0.2956,0.1288,0.0271,0.0136,0.0125,0.3556,0.609,0.79798,161
CC(C)Cc1cc(N2CCN(c3ncc(I)cn3)CC2)nc(N)n1,0.0032,0.0028,0.002,0.0006,0.5238,0.1351,0.0582,0.0229,0.1046,0.01,0.006,0.0059,0.5531,0.1581,0.0619,0.0407,0.1165,0.0044,0.0042,0.0089,0.1595,0.0102,0.0087,0.0161,0.4094,0.0673,0.0402,0.0329,0.1,0.0195,0.0106,0.0085,0.0,0.0001,0.0,0.0,0.0258,0.1013,0.024,0.0001,0.0002,0.0566,0.0722,0.1707,0.166,0.2189,0.0453,0.0213,0.0152,0.0685,0.7021,0.8,157
Cc1csc2c(N3CCN(S(=O)(=O)c4cccc(Cl)c4Cl)CC3)nc(N)nc12,0.0076,0.0071,0.0051,0.0016,0.5291,0.0775,0.0359,0.0314,0.0515,0.0036,0.0025,0.004,0.4249,0.0249,0.0135,0.0352,0.0451,0.0012,0.0015,0.0053,0.1705,0.0114,0.0095,0.0168,0.0799,0.0039,0.0042,0.012,0.0538,0.0093,0.0058,0.0063,0.9737,0.9589,0.8974,0.0181,0.0812,0.3645,0.7818,0.2584,0.9346,0.5043,0.2818,0.5039,0.3216,0.2596,0.122,0.1084,0.0145,0.448,0.6861,0.808989,156
Nc1nc(NCCC(c2ccccc2)c2ccccc2)ncc1F,0.0028,0.0023,0.0017,0.0005,0.4481,0.0558,0.026,0.0184,0.0375,0.0023,0.0017,0.0034,0.5259,0.0658,0.0287,0.0398,0.0268,0.0006,0.0008,0.0039,0.0666,0.0025,0.0025,0.0096,0.1394,0.0085,0.0077,0.0158,0.0647,0.0115,0.0069,0.0068,0.0002,0.3566,0.05,0.0001,0.0551,0.1703,0.3312,0.0019,0.1727,0.1518,0.2574,0.4379,0.261,0.1458,0.0562,0.014,0.0109,0.2044,0.762,0.762712,155
